Province,Gender,Age,Income,Value
Yukon,Males,55 to 64 years (4),"Persons with income of $150,000 and over (5)",150
Yukon,Males,55 to 64 years (4),"Persons with income of $200,000 and over (5)",50
Yukon,Males,55 to 64 years (4),"Persons with income of $250,000 and over (5)",30
Yukon,Males,65 years and over,Total persons with income (5),1780
Yukon,Males,65 years and over,"Persons with income under $5,000 (5)",20
Yukon,Males,65 years and over,"Persons with income of $5,000 and over (5)",1760
Yukon,Males,65 years and over,"Persons with income of $10,000 and over (5)",1730
Yukon,Males,65 years and over,"Persons with income of $15,000 and over (5)",1640
Yukon,Males,65 years and over,"Persons with income of $20,000 and over (5)",1320
Yukon,Males,65 years and over,"Persons with income of $25,000 and over (5)",1080
Yukon,Males,65 years and over,"Persons with income of $35,000 and over (5)",860
Yukon,Males,65 years and over,"Persons with income of $50,000 and over (5)",560
Yukon,Males,65 years and over,"Persons with income of $75,000 and over (5)",250
Yukon,Males,65 years and over,"Persons with income of $100,000 and over (5)",120
Yukon,Males,65 years and over,"Persons with income of $150,000 and over (5)",40
Yukon,Males,65 years and over,"Persons with income of $200,000 and over (5)",20
Yukon,Males,65 years and over,"Persons with income of $250,000 and over (5)",20
Yukon,Females,"All age groups (4,10)",Total persons with income (5),13120
Yukon,Females,"All age groups (4,10)","Persons with income under $5,000 (5)",730
Yukon,Females,"All age groups (4,10)","Persons with income of $5,000 and over (5)",12390
Yukon,Females,"All age groups (4,10)","Persons with income of $10,000 and over (5)",11670
Yukon,Females,"All age groups (4,10)","Persons with income of $15,000 and over (5)",10790
Yukon,Females,"All age groups (4,10)","Persons with income of $20,000 and over (5)",9730
Yukon,Females,"All age groups (4,10)","Persons with income of $25,000 and over (5)",8790
Yukon,Females,"All age groups (4,10)","Persons with income of $35,000 and over (5)",7130
Yukon,Females,"All age groups (4,10)","Persons with income of $50,000 and over (5)",5040
Yukon,Females,"All age groups (4,10)","Persons with income of $75,000 and over (5)",2240
Yukon,Females,"All age groups (4,10)","Persons with income of $100,000 and over (5)",740
Yukon,Females,"All age groups (4,10)","Persons with income of $150,000 and over (5)",180
Yukon,Females,"All age groups (4,10)","Persons with income of $200,000 and over (5)",60
Yukon,Females,"All age groups (4,10)","Persons with income of $250,000 and over (5)",30
Yukon,Females,"0 to 24 years (4,10)",Total persons with income (5),1570
Yukon,Females,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",250
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",1320
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",1030
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",760
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",560
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",400
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",210
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",60
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",20
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",20
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Yukon,Females,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Yukon,Females,25 to 34 years (4),Total persons with income (5),2570
Yukon,Females,25 to 34 years (4),"Persons with income under $5,000 (5)",120
Yukon,Females,25 to 34 years (4),"Persons with income of $5,000 and over (5)",2450
Yukon,Females,25 to 34 years (4),"Persons with income of $10,000 and over (5)",2310
Yukon,Females,25 to 34 years (4),"Persons with income of $15,000 and over (5)",2160
Yukon,Females,25 to 34 years (4),"Persons with income of $20,000 and over (5)",1990
Yukon,Females,25 to 34 years (4),"Persons with income of $25,000 and over (5)",1810
Yukon,Females,25 to 34 years (4),"Persons with income of $35,000 and over (5)",1410
Yukon,Females,25 to 34 years (4),"Persons with income of $50,000 and over (5)",860
Yukon,Females,25 to 34 years (4),"Persons with income of $75,000 and over (5)",280
Yukon,Females,25 to 34 years (4),"Persons with income of $100,000 and over (5)",50
Yukon,Females,25 to 34 years (4),"Persons with income of $150,000 and over (5)",20
Yukon,Females,25 to 34 years (4),"Persons with income of $200,000 and over (5)",20
Yukon,Females,25 to 34 years (4),"Persons with income of $250,000 and over (5)",20
Yukon,Females,35 to 44 years (4),Total persons with income (5),2490
Yukon,Females,35 to 44 years (4),"Persons with income under $5,000 (5)",150
Yukon,Females,35 to 44 years (4),"Persons with income of $5,000 and over (5)",2340
Yukon,Females,35 to 44 years (4),"Persons with income of $10,000 and over (5)",2240
Yukon,Females,35 to 44 years (4),"Persons with income of $15,000 and over (5)",2150
Yukon,Females,35 to 44 years (4),"Persons with income of $20,000 and over (5)",2030
Yukon,Females,35 to 44 years (4),"Persons with income of $25,000 and over (5)",1900
Yukon,Females,35 to 44 years (4),"Persons with income of $35,000 and over (5)",1630
Yukon,Females,35 to 44 years (4),"Persons with income of $50,000 and over (5)",1190
Yukon,Females,35 to 44 years (4),"Persons with income of $75,000 and over (5)",550
Yukon,Females,35 to 44 years (4),"Persons with income of $100,000 and over (5)",140
Yukon,Females,35 to 44 years (4),"Persons with income of $150,000 and over (5)",20
Yukon,Females,35 to 44 years (4),"Persons with income of $200,000 and over (5)",20
Yukon,Females,35 to 44 years (4),"Persons with income of $250,000 and over (5)",20
Yukon,Females,45 to 54 years (4),Total persons with income (5),2740
Yukon,Females,45 to 54 years (4),"Persons with income under $5,000 (5)",110
Yukon,Females,45 to 54 years (4),"Persons with income of $5,000 and over (5)",2630
Yukon,Females,45 to 54 years (4),"Persons with income of $10,000 and over (5)",2560
Yukon,Females,45 to 54 years (4),"Persons with income of $15,000 and over (5)",2460
Yukon,Females,45 to 54 years (4),"Persons with income of $20,000 and over (5)",2340
Yukon,Females,45 to 54 years (4),"Persons with income of $25,000 and over (5)",2210
Yukon,Females,45 to 54 years (4),"Persons with income of $35,000 and over (5)",1930
Yukon,Females,45 to 54 years (4),"Persons with income of $50,000 and over (5)",1520
Yukon,Females,45 to 54 years (4),"Persons with income of $75,000 and over (5)",750
Yukon,Females,45 to 54 years (4),"Persons with income of $100,000 and over (5)",270
Yukon,Females,45 to 54 years (4),"Persons with income of $150,000 and over (5)",60
Yukon,Females,45 to 54 years (4),"Persons with income of $200,000 and over (5)",20
Yukon,Females,45 to 54 years (4),"Persons with income of $250,000 and over (5)",20
Yukon,Females,55 to 64 years (4),Total persons with income (5),2190
Yukon,Females,55 to 64 years (4),"Persons with income under $5,000 (5)",100
Yukon,Females,55 to 64 years (4),"Persons with income of $5,000 and over (5)",2100
Yukon,Females,55 to 64 years (4),"Persons with income of $10,000 and over (5)",2010
Yukon,Females,55 to 64 years (4),"Persons with income of $15,000 and over (5)",1900
Yukon,Females,55 to 64 years (4),"Persons with income of $20,000 and over (5)",1770
Yukon,Females,55 to 64 years (4),"Persons with income of $25,000 and over (5)",1650
Yukon,Females,55 to 64 years (4),"Persons with income of $35,000 and over (5)",1400
Yukon,Females,55 to 64 years (4),"Persons with income of $50,000 and over (5)",1070
Yukon,Females,55 to 64 years (4),"Persons with income of $75,000 and over (5)",530
Yukon,Females,55 to 64 years (4),"Persons with income of $100,000 and over (5)",230
Yukon,Females,55 to 64 years (4),"Persons with income of $150,000 and over (5)",70
Yukon,Females,55 to 64 years (4),"Persons with income of $200,000 and over (5)",20
Yukon,Females,55 to 64 years (4),"Persons with income of $250,000 and over (5)",20
Yukon,Females,65 years and over,Total persons with income (5),1570
Yukon,Females,65 years and over,"Persons with income under $5,000 (5)",20
Yukon,Females,65 years and over,"Persons with income of $5,000 and over (5)",1560
Yukon,Females,65 years and over,"Persons with income of $10,000 and over (5)",1510
Yukon,Females,65 years and over,"Persons with income of $15,000 and over (5)",1360
Yukon,Females,65 years and over,"Persons with income of $20,000 and over (5)",1040
Yukon,Females,65 years and over,"Persons with income of $25,000 and over (5)",830
Yukon,Females,65 years and over,"Persons with income of $35,000 and over (5)",560
Yukon,Females,65 years and over,"Persons with income of $50,000 and over (5)",340
Yukon,Females,65 years and over,"Persons with income of $75,000 and over (5)",130
Yukon,Females,65 years and over,"Persons with income of $100,000 and over (5)",50
Yukon,Females,65 years and over,"Persons with income of $150,000 and over (5)",20
Yukon,Females,65 years and over,"Persons with income of $200,000 and over (5)",20
Yukon,Females,65 years and over,"Persons with income of $250,000 and over (5)",20
Northwest Territories,Both sexes,"All age groups (4,10)",Total persons with income (5),29770
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income under $5,000 (5)",2640
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $5,000 and over (5)",27130
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $10,000 and over (5)",25020
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $15,000 and over (5)",22890
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $20,000 and over (5)",20840
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $25,000 and over (5)",19130
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $35,000 and over (5)",16650
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $50,000 and over (5)",13590
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $75,000 and over (5)",9280
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $100,000 and over (5)",5440
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $150,000 and over (5)",1170
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $200,000 and over (5)",430
Northwest Territories,Both sexes,"All age groups (4,10)","Persons with income of $250,000 and over (5)",210
Northwest Territories,Both sexes,"0 to 24 years (4,10)",Total persons with income (5),4920
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",1220
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",3690
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",2820
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",2170
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",1690
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",1310
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",850
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",440
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",140
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",50
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Northwest Territories,Both sexes,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Northwest Territories,Both sexes,25 to 34 years (4),Total persons with income (5),6730
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income under $5,000 (5)",480
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $5,000 and over (5)",6250
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $10,000 and over (5)",5830
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $15,000 and over (5)",5400
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $20,000 and over (5)",5010
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $25,000 and over (5)",4680
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $35,000 and over (5)",4040
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $50,000 and over (5)",3190
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $75,000 and over (5)",2000
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $100,000 and over (5)",930
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $150,000 and over (5)",130
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $200,000 and over (5)",30
Northwest Territories,Both sexes,25 to 34 years (4),"Persons with income of $250,000 and over (5)",20
Northwest Territories,Both sexes,35 to 44 years (4),Total persons with income (5),5850
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income under $5,000 (5)",380
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $5,000 and over (5)",5470
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $10,000 and over (5)",5180
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $15,000 and over (5)",4910
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $20,000 and over (5)",4650
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $25,000 and over (5)",4410
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $35,000 and over (5)",4000
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $50,000 and over (5)",3370
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $75,000 and over (5)",2400
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $100,000 and over (5)",1410
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $150,000 and over (5)",250
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $200,000 and over (5)",90
Northwest Territories,Both sexes,35 to 44 years (4),"Persons with income of $250,000 and over (5)",50
Northwest Territories,Both sexes,45 to 54 years (4),Total persons with income (5),5870
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income under $5,000 (5)",340
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $5,000 and over (5)",5530
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $10,000 and over (5)",5240
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $15,000 and over (5)",4960
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $20,000 and over (5)",4750
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $25,000 and over (5)",4530
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $35,000 and over (5)",4140
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $50,000 and over (5)",3610
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $75,000 and over (5)",2680
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $100,000 and over (5)",1710
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $150,000 and over (5)",390
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $200,000 and over (5)",140
Northwest Territories,Both sexes,45 to 54 years (4),"Persons with income of $250,000 and over (5)",80
Northwest Territories,Both sexes,55 to 64 years (4),Total persons with income (5),3890
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income under $5,000 (5)",200
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $5,000 and over (5)",3690
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $10,000 and over (5)",3520
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $15,000 and over (5)",3260
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $20,000 and over (5)",3070
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $25,000 and over (5)",2950
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $35,000 and over (5)",2720
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $50,000 and over (5)",2340
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $75,000 and over (5)",1700
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $100,000 and over (5)",1130
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $150,000 and over (5)",320
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $200,000 and over (5)",130
Northwest Territories,Both sexes,55 to 64 years (4),"Persons with income of $250,000 and over (5)",70
Northwest Territories,Both sexes,65 years and over,Total persons with income (5),2520
Northwest Territories,Both sexes,65 years and over,"Persons with income under $5,000 (5)",20
Northwest Territories,Both sexes,65 years and over,"Persons with income of $5,000 and over (5)",2500
Northwest Territories,Both sexes,65 years and over,"Persons with income of $10,000 and over (5)",2430
Northwest Territories,Both sexes,65 years and over,"Persons with income of $15,000 and over (5)",2200
Northwest Territories,Both sexes,65 years and over,"Persons with income of $20,000 and over (5)",1680
Northwest Territories,Both sexes,65 years and over,"Persons with income of $25,000 and over (5)",1250
Northwest Territories,Both sexes,65 years and over,"Persons with income of $35,000 and over (5)",910
Northwest Territories,Both sexes,65 years and over,"Persons with income of $50,000 and over (5)",640
Northwest Territories,Both sexes,65 years and over,"Persons with income of $75,000 and over (5)",360
Northwest Territories,Both sexes,65 years and over,"Persons with income of $100,000 and over (5)",220
Northwest Territories,Both sexes,65 years and over,"Persons with income of $150,000 and over (5)",80
Northwest Territories,Both sexes,65 years and over,"Persons with income of $200,000 and over (5)",40
Northwest Territories,Both sexes,65 years and over,"Persons with income of $250,000 and over (5)",20
Northwest Territories,Males,"All age groups (4,10)",Total persons with income (5),15130
Northwest Territories,Males,"All age groups (4,10)","Persons with income under $5,000 (5)",1360
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $5,000 and over (5)",13770
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $10,000 and over (5)",12830
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $15,000 and over (5)",11830
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $20,000 and over (5)",10910
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $25,000 and over (5)",10110
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $35,000 and over (5)",9000
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $50,000 and over (5)",7480
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $75,000 and over (5)",5430
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $100,000 and over (5)",3520
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $150,000 and over (5)",880
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $200,000 and over (5)",330
Northwest Territories,Males,"All age groups (4,10)","Persons with income of $250,000 and over (5)",160
Northwest Territories,Males,"0 to 24 years (4,10)",Total persons with income (5),2470
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",650
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",1820
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",1430
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",1120
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",890
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",720
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",520
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",280
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",110
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",40
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Northwest Territories,Males,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Northwest Territories,Males,25 to 34 years (4),Total persons with income (5),3330
Northwest Territories,Males,25 to 34 years (4),"Persons with income under $5,000 (5)",260
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $5,000 and over (5)",3070
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $10,000 and over (5)",2900
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $15,000 and over (5)",2730
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $20,000 and over (5)",2560
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $25,000 and over (5)",2430
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $35,000 and over (5)",2150
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $50,000 and over (5)",1740
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $75,000 and over (5)",1160
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $100,000 and over (5)",610
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $150,000 and over (5)",100
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $200,000 and over (5)",20
Northwest Territories,Males,25 to 34 years (4),"Persons with income of $250,000 and over (5)",20
Northwest Territories,Males,35 to 44 years (4),Total persons with income (5),2950
Northwest Territories,Males,35 to 44 years (4),"Persons with income under $5,000 (5)",190
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $5,000 and over (5)",2760
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $10,000 and over (5)",2630
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $15,000 and over (5)",2480
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $20,000 and over (5)",2380
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $25,000 and over (5)",2280
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $35,000 and over (5)",2110
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $50,000 and over (5)",1810
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $75,000 and over (5)",1370
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $100,000 and over (5)",910
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $150,000 and over (5)",190
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $200,000 and over (5)",70
Northwest Territories,Males,35 to 44 years (4),"Persons with income of $250,000 and over (5)",40
Northwest Territories,Males,45 to 54 years (4),Total persons with income (5),3010
Northwest Territories,Males,45 to 54 years (4),"Persons with income under $5,000 (5)",150
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $5,000 and over (5)",2870
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $10,000 and over (5)",2710
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $15,000 and over (5)",2580
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $20,000 and over (5)",2470
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $25,000 and over (5)",2370
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $35,000 and over (5)",2210
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $50,000 and over (5)",1940
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $75,000 and over (5)",1530
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $100,000 and over (5)",1070
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $150,000 and over (5)",280
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $200,000 and over (5)",100
Northwest Territories,Males,45 to 54 years (4),"Persons with income of $250,000 and over (5)",60
Northwest Territories,Males,55 to 64 years (4),Total persons with income (5),2070
Northwest Territories,Males,55 to 64 years (4),"Persons with income under $5,000 (5)",100
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $5,000 and over (5)",1970
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $10,000 and over (5)",1880
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $15,000 and over (5)",1740
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $20,000 and over (5)",1650
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $25,000 and over (5)",1570
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $35,000 and over (5)",1470
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $50,000 and over (5)",1290
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $75,000 and over (5)",1010
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $100,000 and over (5)",730
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $150,000 and over (5)",240
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $200,000 and over (5)",90
Northwest Territories,Males,55 to 64 years (4),"Persons with income of $250,000 and over (5)",50
Northwest Territories,Males,65 years and over,Total persons with income (5),1300
Northwest Territories,Males,65 years and over,"Persons with income under $5,000 (5)",20
Northwest Territories,Males,65 years and over,"Persons with income of $5,000 and over (5)",1290
Northwest Territories,Males,65 years and over,"Persons with income of $10,000 and over (5)",1270
Northwest Territories,Males,65 years and over,"Persons with income of $15,000 and over (5)",1190
Northwest Territories,Males,65 years and over,"Persons with income of $20,000 and over (5)",960
Northwest Territories,Males,65 years and over,"Persons with income of $25,000 and over (5)",740
Northwest Territories,Males,65 years and over,"Persons with income of $35,000 and over (5)",550
Northwest Territories,Males,65 years and over,"Persons with income of $50,000 and over (5)",420
Northwest Territories,Males,65 years and over,"Persons with income of $75,000 and over (5)",250
Northwest Territories,Males,65 years and over,"Persons with income of $100,000 and over (5)",170
Northwest Territories,Males,65 years and over,"Persons with income of $150,000 and over (5)",70
Northwest Territories,Males,65 years and over,"Persons with income of $200,000 and over (5)",30
Northwest Territories,Males,65 years and over,"Persons with income of $250,000 and over (5)",20
Northwest Territories,Females,"All age groups (4,10)",Total persons with income (5),14650
Northwest Territories,Females,"All age groups (4,10)","Persons with income under $5,000 (5)",1290
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $5,000 and over (5)",13360
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $10,000 and over (5)",12200
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $15,000 and over (5)",11060
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $20,000 and over (5)",9930
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $25,000 and over (5)",9030
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $35,000 and over (5)",7660
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $50,000 and over (5)",6110
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $75,000 and over (5)",3850
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $100,000 and over (5)",1930
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $150,000 and over (5)",300
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $200,000 and over (5)",100
Northwest Territories,Females,"All age groups (4,10)","Persons with income of $250,000 and over (5)",50
Northwest Territories,Females,"0 to 24 years (4,10)",Total persons with income (5),2450
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",580
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",1870
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",1400
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",1050
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",790
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",590
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",330
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",160
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",30
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",20
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Northwest Territories,Females,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Northwest Territories,Females,25 to 34 years (4),Total persons with income (5),3400
Northwest Territories,Females,25 to 34 years (4),"Persons with income under $5,000 (5)",220
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $5,000 and over (5)",3190
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $10,000 and over (5)",2930
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $15,000 and over (5)",2670
Northwest Territories,Females,25 to 34 years (4),"Persons with income of $20,000 and over (5)",2450
